,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round
132,132,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,577,2119,2022,1
145,145,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,552,1557,2022,1
153,153,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1420,2081,2022,1
165,165,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,1664,5323,2022,1
175,175,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1941,3418,2022,1
188,188,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,60,2022,1
204,204,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,1577,2107,2022,1
215,215,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,103,369,2022,1
228,228,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,374,843,2022,1
241,241,IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1116,2381,2022,1
252,252,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,39,1397,2022,1
264,264,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3926,4736,2022,1
275,275,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,141,1382,2022,1
288,288,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1409,1492,2022,1
297,297,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2476,3766,2022,1
10154,132,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,577,2119,2022,2
10167,145,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,552,1557,2022,2
10175,153,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1420,2081,2022,2
10187,165,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4360,5336,2022,2
10197,175,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1941,3446,2022,2
10210,188,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,60,2022,2
10226,204,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,1577,2107,2022,2
10237,215,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,103,369,2022,2
10250,228,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,374,843,2022,2
10263,241,IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1116,2381,2022,2
10274,252,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,200,1447,2022,2
10286,264,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3926,4736,2022,2
10297,275,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,141,1382,2022,2
10310,288,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1409,1492,2022,2
10319,297,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2476,3766,2022,2
19970,132,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,577,2119,2022,3
19983,145,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,552,2143,2022,3
19991,153,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1420,2081,2022,3
20003,165,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4360,5336,2022,3
20013,175,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1941,3446,2022,3
20026,188,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,60,2022,3
20042,204,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,1577,2107,2022,3
20053,215,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,103,369,2022,3
20066,228,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,374,843,2022,3
20079,241,IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1116,2381,2022,3
20090,252,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,200,1447,2022,3
20102,264,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3926,4736,2022,3
20113,275,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,141,1382,2022,3
20126,288,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1409,1492,2022,3
20135,297,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2476,3766,2022,3
29743,132,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,577,2119,2022,4
29756,145,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,552,2143,2022,4
29764,153,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1420,2081,2022,4
29776,165,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4360,5336,2022,4
29786,175,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1941,3446,2022,4
29799,188,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,60,2022,4
29815,204,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,1577,2107,2022,4
29826,215,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,103,369,2022,4
29839,228,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,374,843,2022,4
29852,241,IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1116,2381,2022,4
29863,252,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,200,1447,2022,4
29875,264,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3926,4736,2022,4
29886,275,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,141,1382,2022,4
29899,288,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1409,1492,2022,4
29908,297,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2476,3766,2022,4
39511,132,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,577,2119,2022,5
39524,145,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,552,2143,2022,5
39532,153,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1420,2081,2022,5
39544,165,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4360,5336,2022,5
39554,175,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1941,3446,2022,5
39567,188,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,60,2022,5
39583,204,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,1577,2107,2022,5
39594,215,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,103,369,2022,5
39607,228,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,374,843,2022,5
39620,241,IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1116,2381,2022,5
39631,252,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,200,1447,2022,5
39643,264,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3926,4736,2022,5
39654,275,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,141,1382,2022,5
39667,288,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1409,1492,2022,5
39676,297,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2476,3766,2022,5
49274,132,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,577,2119,2022,6
49287,145,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,552,2158,2022,6
49295,153,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1420,2081,2022,6
49307,165,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4360,5500,2022,6
49317,175,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1941,3471,2022,6
49330,188,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2,61,2022,6
49346,204,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,1577,2107,2022,6
49357,215,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,103,369,2022,6
49370,228,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,374,866,2022,6
49383,241,IIT Bombay,Energy Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1116,2381,2022,6
49394,252,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,200,1452,2022,6
49406,264,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3926,4736,2022,6
49417,275,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,141,1406,2022,6
49430,288,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1409,1492,2022,6
49439,297,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2476,3783,2022,6
59004,130,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,123,2003,2021,1
59017,143,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,198,1602,2021,1
59025,151,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1266,2109,2021,1
59038,164,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4173,5764,2021,1
59048,174,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2017,3216,2021,1
59060,186,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,66,2021,1
59076,202,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,749,1910,2021,1
59088,214,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,95,420,2021,1
59102,228,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,495,795,2021,1
59114,240,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1592,2776,2021,1
59124,250,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,320,1210,2021,1
59135,261,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3490,4654,2021,1
59145,271,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,157,1217,2021,1
59159,285,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1273,1471,2021,1
59168,294,IIT Bombay,Metallurgical Engineering & Materials Science (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3777,4066,2021,1
59178,304,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2381,3766,2021,1
68453,130,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,123,2118,2021,2
68466,143,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,198,1903,2021,2
68474,151,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1266,2139,2021,2
68486,163,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4396,5788,2021,2
68496,173,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2017,3226,2021,2
68508,185,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,67,2021,2
68524,201,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,749,1910,2021,2
68536,213,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,95,422,2021,2
68550,227,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,495,795,2021,2
68562,239,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1592,2787,2021,2
68572,249,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,320,1265,2021,2
68583,260,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3490,4859,2021,2
68593,270,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,157,1234,2021,2
68607,284,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1273,1471,2021,2
68616,293,IIT Bombay,Metallurgical Engineering & Materials Science (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3805,4078,2021,2
68626,303,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2381,3777,2021,2
77720,130,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,123,2118,2021,3
77733,143,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,198,1903,2021,3
77741,151,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1266,2139,2021,3
77753,163,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4396,5788,2021,3
77763,173,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2017,3226,2021,3
77775,185,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,67,2021,3
77791,201,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,749,1910,2021,3
77803,213,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,95,422,2021,3
77817,227,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,495,795,2021,3
77829,239,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1592,2787,2021,3
77839,249,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,320,1265,2021,3
77850,260,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3490,4859,2021,3
77860,270,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,157,1234,2021,3
77874,284,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1273,1471,2021,3
77883,293,IIT Bombay,Metallurgical Engineering & Materials Science (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3805,4078,2021,3
77893,303,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2381,3777,2021,3
86958,130,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,123,2118,2021,4
86971,143,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,198,1903,2021,4
86979,151,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1266,2139,2021,4
86991,163,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4396,5788,2021,4
87001,173,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2017,3226,2021,4
87013,185,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,67,2021,4
87029,201,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,749,1910,2021,4
87041,213,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,95,422,2021,4
87055,227,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,495,795,2021,4
87067,239,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1592,2787,2021,4
87077,249,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,320,1265,2021,4
87088,260,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3490,4859,2021,4
87098,270,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,157,1234,2021,4
87112,284,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1273,1471,2021,4
87121,293,IIT Bombay,Metallurgical Engineering & Materials Science (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3805,4078,2021,4
87131,303,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2381,3777,2021,4
96187,130,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,123,2118,2021,5
96200,143,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,198,1903,2021,5
96208,151,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1266,2139,2021,5
96220,163,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4396,5788,2021,5
96230,173,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2017,3226,2021,5
96242,185,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,67,2021,5
96258,201,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,749,1910,2021,5
96270,213,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,95,422,2021,5
96284,227,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,495,795,2021,5
96296,239,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1592,2787,2021,5
96306,249,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,320,1265,2021,5
96317,260,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3490,4859,2021,5
96327,270,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,157,1234,2021,5
96341,284,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1273,1471,2021,5
96350,293,IIT Bombay,Metallurgical Engineering & Materials Science (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3805,4078,2021,5
96360,303,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2381,3777,2021,5
105410,130,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,123,2118,2021,6
105423,143,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,198,1944,2021,6
105431,151,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1266,2213,2021,6
105443,163,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,4396,5788,2021,6
105453,173,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2226,3304,2021,6
105465,185,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1,67,2021,6
105481,201,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,749,2032,2021,6
105493,213,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,95,434,2021,6
105507,227,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,495,795,2021,6
105519,239,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1592,2787,2021,6
105529,249,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,320,1324,2021,6
105540,260,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3490,4859,2021,6
105550,270,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,157,1241,2021,6
105564,284,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1273,1471,2021,6
105573,293,IIT Bombay,Metallurgical Engineering & Materials Science (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3963,4204,2021,6
105583,303,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2381,3830,2021,6
114593,135,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,807,2070,2020,1
114604,146,IIT Bombay,BS in Mathematics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,128,1511,2020,1
114611,153,IIT Bombay,Chemical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,832,1922,2020,1
114624,166,IIT Bombay,Chemistry (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,2541,5700,2020,1
114634,176,IIT Bombay,Civil Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,1498,3267,2020,1
114647,189,IIT Bombay,Computer Science and Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2,63,2020,1
114663,205,IIT Bombay,Economics (4 Years Bachelor of Science),AI,OPEN,Gender-Neutral,819,2176,2020,1
114673,215,IIT Bombay,Electrical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,25,288,2020,1
114687,229,IIT Bombay,Electrical Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,301,749,2020,1
114699,241,IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1566,2469,2020,1
114710,252,IIT Bombay,Engineering Physics (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,309,1101,2020,1
114721,263,IIT Bombay,Environmental Science and Engineering (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3830,5209,2020,1
114731,273,IIT Bombay,Mechanical Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,291,1110,2020,1
114745,287,IIT Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,1195,1571,2020,1
114755,297,IIT Bombay,Metallurgical Engineering & Materials Science (5 Years Bachelor and Master of Technology (Dual Degree)),AI,OPEN,Gender-Neutral,3688,4213,2020,1
114766,308,IIT Bombay,Metallurgical Engineering and Materials Science (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,2229,3574,2020,1
123928,133,IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),AI,OPEN,Gender-Neutral,807,2070,2020,2
